block_label,episode,dataset_idx,baseline_mse,patch_mse,naive_mse
b00_Grab the white fan using,0,0,0.01135,0.01150,0.01873
b00_Grab the white fan using,1,1,0.00327,0.00559,0.02184
b00_Grab the white fan using,2,2,0.00675,0.00605,0.02615
b00_Grab the white fan using,3,3,0.01056,0.01131,0.02884
b00_Grab the white fan using,4,4,0.00686,0.00866,0.03357
b01_Position the plastic sta,0,3755,0.01990,0.02060,0.04209
b01_Position the plastic sta,1,3756,0.00844,0.00940,0.04684
b01_Position the plastic sta,2,3757,0.00370,0.00403,0.04939
b01_Position the plastic sta,3,3758,0.00545,0.00919,0.05049
b01_Position the plastic sta,4,3759,0.00938,0.01189,0.05116
b02_Place the ceramic bowl d,0,7510,0.00212,0.00228,0.27356
b02_Place the ceramic bowl d,1,7511,0.00089,0.00097,0.26031
b02_Place the ceramic bowl d,2,7512,0.00118,0.00077,0.24016
b02_Place the ceramic bowl d,3,7513,0.00109,0.00108,0.21339
b02_Place the ceramic bowl d,4,7514,0.00112,0.00133,0.18305
b03_Lift the teal-bottom bot,0,11265,0.00545,0.00721,0.03565
b03_Lift the teal-bottom bot,1,11266,0.00712,0.01584,0.03744
b03_Lift the teal-bottom bot,2,11267,0.00297,0.00367,0.04258
b03_Lift the teal-bottom bot,3,11268,0.00358,0.00141,0.04522
b03_Lift the teal-bottom bot,4,11269,0.00164,0.00269,0.04623
"b04_With the right arm, lift",0,15020,0.00217,0.00227,0.01040
"b04_With the right arm, lift",1,15021,0.00188,0.00183,0.01114
"b04_With the right arm, lift",2,15022,0.00180,0.00212,0.01177
"b04_With the right arm, lift",3,15023,0.00215,0.00223,0.01241
"b04_With the right arm, lift",4,15024,0.00152,0.00171,0.01326
b05_Take the sound microphon,0,18775,0.00510,0.00482,0.11527
b05_Take the sound microphon,1,18776,0.00555,0.00521,0.11462
b05_Take the sound microphon,2,18777,0.00609,0.00498,0.11323
b05_Take the sound microphon,3,18778,0.00611,0.00480,0.11321
b05_Take the sound microphon,4,18779,0.00614,0.00436,0.11196
b06_Use the arm to set the c,0,22530,0.00120,0.00050,0.00785
b06_Use the arm to set the c,1,22531,0.00279,0.00127,0.00906
b06_Use the arm to set the c,2,22532,0.00071,0.00072,0.00986
b06_Use the arm to set the c,3,22533,0.00172,0.00079,0.01035
b06_Use the arm to set the c,4,22534,0.00159,0.00085,0.01021
"b07_With the right arm, the ",0,26285,0.00134,0.00390,0.01862
"b07_With the right arm, the ",1,26286,0.00101,0.00050,0.03681
"b07_With the right arm, the ",2,26287,0.00156,0.00227,0.05765
"b07_With the right arm, the ",3,26288,0.01051,0.00856,0.07770
"b07_With the right arm, the ",4,26289,0.00058,0.00044,0.09555
b08_Slide open the drawer of,0,30040,0.06286,0.06110,0.08429
b08_Slide open the drawer of,1,30041,0.05345,0.05151,0.09258
b08_Slide open the drawer of,2,30042,0.04207,0.04100,0.10184
b08_Slide open the drawer of,3,30043,0.03053,0.03006,0.11052
b08_Slide open the drawer of,4,30044,0.01949,0.01979,0.11800
"b09_Move large block, medium",0,33795,0.01095,0.01257,0.06211
"b09_Move large block, medium",1,33796,0.01009,0.00697,0.05835
"b09_Move large block, medium",2,33797,0.00529,0.00542,0.05743
"b09_Move large block, medium",3,33798,0.00640,0.00674,0.05314
"b09_Move large block, medium",4,33799,0.00585,0.00696,0.04748
b10_First move the cylindric,0,37550,0.02940,0.28545,0.39628
b10_First move the cylindric,1,37551,0.09752,0.20710,0.38687
b10_First move the cylindric,2,37552,0.01226,0.11417,0.38169
b10_First move the cylindric,3,37553,0.09998,0.04211,0.39573
b10_First move the cylindric,4,37554,0.15450,0.03511,0.41034
b11_After grabbing the red p,0,41305,0.00107,0.00096,0.01177
b11_After grabbing the red p,1,41306,0.00126,0.00118,0.01295
b11_After grabbing the red p,2,41307,0.00198,0.00213,0.02008
b11_After grabbing the red p,3,41308,0.00190,0.00179,0.02789
b11_After grabbing the red p,4,41309,0.00238,0.00211,0.03552
b12_Move the container with ,0,45060,0.00093,0.00696,0.20070
b12_Move the container with ,1,45061,0.00077,0.00088,0.23649
b12_Move the container with ,2,45062,0.00079,0.00103,0.26120
b12_Move the container with ,3,45063,0.00202,0.00169,0.27740
b12_Move the container with ,4,45064,0.00133,0.00114,0.28472
b13_Pick up the small soft h,0,48815,0.00098,0.00085,0.09428
b13_Pick up the small soft h,1,48816,0.00096,0.00080,0.09090
b13_Pick up the small soft h,2,48817,0.00112,0.00073,0.08581
b13_Pick up the small soft h,3,48818,0.00090,0.00057,0.07714
b13_Pick up the small soft h,4,48819,0.00095,0.00057,0.06399
b14_Lift the gray tabletrash,0,52570,0.00253,0.00266,0.04547
b14_Lift the gray tabletrash,1,52571,0.00253,0.00248,0.04497
b14_Lift the gray tabletrash,2,52572,0.00251,0.00244,0.04509
b14_Lift the gray tabletrash,3,52573,0.00247,0.00238,0.04499
b14_Lift the gray tabletrash,4,52574,0.00251,0.00246,0.04441
